Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
Lamonte Turner,UT,28,31,3.9,9.2,0.42,1.8,5.5,0.32,1.4,1.8,0.784,1.5,2.5,0.3,2.4,2.7,3.8,1.2,0.1,10.9,0
Jordan Bowden,UT,36,27.8,3.6,7.8,0.459,1.4,3.8,0.378,2.1,2.6,0.817,1,2.1,0.6,2.9,3.5,1.9,0.9,0.3,10.6,0
Donta Hall,UA,34,26.8,3.9,6.3,0.617,0,0,1,2.6,3.6,0.718,1.1,1.8,2.7,6.1,8.8,0.5,0.5,1.6,10.5,0
Tyson Carter,MSU,34,25.6,3.8,8.6,0.447,1.8,4.8,0.366,0.9,1.2,0.8,1,1.5,0.1,1.9,2,1.5,1.2,0,10.4,0
Devontae Shuler,UM,33,32.2,3.6,7.9,0.458,1.5,3.8,0.402,1.5,1.9,0.823,1.8,1.5,0.8,3.4,4.2,3,1.7,0.2,10.3,0
"John Petty, Jr.",UA,34,28.9,3.5,8.4,0.413,1.7,5,0.345,1.6,2.2,0.707,2,1.1,0.7,3.5,4.2,1.9,0.5,0.4,10.2,0
Jeremiah Tilmon,MU,31,24.2,4.1,7.5,0.545,0,0,0,2,2.9,0.681,2.2,3.6,2.4,3.5,5.9,0.6,0.5,0.8,10.1,0
Reggie Perry,MSU,34,23.9,3.5,6.9,0.502,0.3,1.1,0.282,2.4,3.4,0.716,1.5,2.9,2.6,4.6,7.2,0.6,0.6,0.7,9.7,0
Nick Weatherspoon,MSU,24,27.8,3.7,7.8,0.476,0.8,2.2,0.385,1.4,2,0.708,1.3,2,0.2,2.6,2.8,2.3,1.2,0.2,9.7,0
Derek Ogbeide,UGA,32,21.1,3.8,7.2,0.53,0,0,0,2,3.3,0.619,1.7,2.1,1.5,4.2,5.7,0.8,0.5,0.6,9.7,0
Aric Holman,MSU,34,24.4,3.4,7.2,0.473,1.3,3.1,0.429,1.4,2,0.701,1.5,1.8,2.1,4,6.2,1.2,0.9,1.6,9.5,0
Noah Locke,UF,36,25.4,3.1,8.4,0.375,2.2,5.9,0.379,0.9,1.1,0.775,0.4,1.3,0.6,1.7,2.3,0.6,0.4,0,9.4,0
Jalen Hudson,UF,36,22.5,3.1,8.7,0.355,1.2,4.4,0.28,1.9,2.6,0.72,1,1.9,0.8,2.1,2.9,0.9,0.7,0.2,9.2,0
Tyree Crump,UGA,32,20.3,2.8,7.6,0.374,2,5.8,0.348,1.5,1.9,0.783,1.5,1.4,0.2,1.5,1.7,1.5,0.4,0,9.2,0
Tevin Mack,UA,34,20.6,3.4,8.1,0.417,1.4,4.2,0.333,0.8,1.5,0.56,1.4,1.6,0.9,2.4,3.3,0.8,0.3,0.5,9,0
Keyshawn Bryant,USC,32,23.8,3.7,8.2,0.454,0.2,0.9,0.207,1.3,2.3,0.573,2,2.3,1.1,2.7,3.8,1.4,0.7,0.5,9,0
Bruce Stevens,UM,33,20.4,3.2,6.4,0.505,0.8,2.5,0.325,1.2,1.4,0.867,1.1,2.5,1.3,3.1,4.4,0.8,0.6,0.4,8.5,0
Kevarrius Hayes,UF,36,25,3.1,4.7,0.673,0,0,0,2.1,3.1,0.667,1.5,2.7,2.8,3.5,6.2,0.7,1,1.9,8.3,0
Christian Mekowulu,TAMU,32,21.4,2.8,6.1,0.469,0.1,0.3,0.273,2.5,3.6,0.702,1,2.7,2.6,3.8,6.4,0.5,0.3,1,8.3,0
J.J. Chandler,TAMU,31,23.7,2.9,6.6,0.442,0.6,2.1,0.297,1.8,2.5,0.705,1.5,2.7,0.7,2.5,3.2,1.3,1.3,0.2,8.3,0
Blake Hinson,UM,32,24,2.8,6.8,0.406,1.4,4.1,0.348,1.3,1.8,0.737,0.9,2.8,0.7,2.2,2.9,1.1,0.5,0.3,8.2,0
Matt Ryan,VU,29,24.9,2.6,7.6,0.347,2,6.2,0.328,0.8,1.1,0.75,1.1,2,0.4,2.3,2.7,0.9,0.3,0.1,8.1,0
Josh Nebo,TAMU,30,19.6,3.1,4.4,0.699,0,0,0,1.9,2.7,0.695,0.9,1.7,2.2,3.2,5.3,0.3,0.2,2.3,8.1,0
Keyontae Johnson,UF,36,23.8,3.1,6.6,0.47,0.6,1.8,0.365,1.2,1.9,0.643,1.3,2.3,1.9,4.5,6.4,1.2,1.1,0.3,8.1,0
Andrew Nembhard,UF,36,32.9,2.9,7.1,0.414,1,2.8,0.347,1.2,1.5,0.764,2.1,1.7,0.2,2.7,2.9,5.4,1.2,0.1,8,0
Quade Green,UK,9,17.8,2.4,5.4,0.449,1.2,2.9,0.423,1.9,2.1,0.895,2.3,0.8,0.3,1,1.3,2.3,1,0,8,0
Kavell Bigby-Williams,LSU,35,21.2,3.2,5.1,0.617,0,0,0,1.5,2.6,0.576,0.8,2.9,2.9,3.8,6.7,0.5,0.3,1.9,7.9,0
Jordan Harris,UGA,29,19.9,2.6,5.3,0.487,0.8,1.8,0.415,1.9,2.2,0.844,1.8,1.9,1,2.7,3.6,1.5,1.1,0.5,7.8,0
Javon Pickett,MU,31,26.1,3,8.3,0.366,1.1,3.4,0.314,0.6,1.2,0.528,1.5,2.4,1.1,2.3,3.3,1.5,0.7,0.1,7.7,0
Ashton Hagans,UK,37,28.5,2.7,5.8,0.467,0.4,1.4,0.275,1.9,2.5,0.761,2.5,2,0.6,2,2.6,4.3,1.6,0.1,7.7,0
Jalen Harris,U of A,34,30.8,2.5,7.3,0.341,0.2,2,0.116,2.4,3.5,0.689,1.9,2.2,0.5,2.4,2.9,5.4,1.1,0.2,7.6,0
Justin Minaya,USC,5,25.6,3,6.6,0.455,0.4,3,0.133,1,1.4,0.714,0.8,3.6,2,3.6,5.6,1.6,0.6,0.4,7.4,0
Kyle Alexander,UT,37,23.8,2.9,4.8,0.616,0.1,0.2,0.429,1.4,2.1,0.658,1.2,2.7,2.6,4.1,6.7,0.5,0.5,1.7,7.4,0
Samir Doughty,AU,40,24.2,2.5,5.3,0.458,1.1,2.6,0.425,1.3,1.6,0.785,1.4,2.2,1.1,2.4,3.5,1.7,1.4,0.1,7.3,0
Tre Campbell,USC,32,26.9,2.3,7.1,0.326,1.6,4.2,0.37,0.9,1.2,0.789,1.2,1.3,0.3,1.4,1.7,2.7,1,0.1,7.1,0
Kevin Puryear,MU,32,23.3,2.5,6.1,0.415,0.6,1.8,0.322,1.4,1.9,0.767,1.3,2.2,1.5,3.3,4.8,1.2,0.4,0.1,7.1,0
Dazon Ingram,UA,32,22.2,2.1,4.6,0.453,0.5,1.3,0.381,2.4,3.3,0.71,2,2.6,0.8,2.9,3.8,2.6,0.5,0.1,7.1,0
Torrance Watson,MU,32,22.8,2.3,6.2,0.365,1.7,4.6,0.361,0.8,1.2,0.692,0.8,1.6,0.3,1.2,1.5,0.5,0.2,0.1,7.1,0
Emmitt Williams,LSU,34,19.7,2.6,4.3,0.614,0,0.2,0.167,1.7,2.5,0.686,1.1,1.9,2.6,2.8,5.4,0.4,0.3,0.6,7,0
Joe Toye,VU,32,24.1,2.3,6.4,0.363,1.1,3.9,0.282,1.2,1.8,0.684,1.2,1.7,0.8,2,2.7,0.7,0.6,0.3,6.9,0
Austin Wiley,AU,29,13,2.6,4.6,0.567,0,0.1,0,1.7,2.9,0.571,1,2,1.6,2.5,4,0.1,0.2,1.2,6.9,0
Maik Kotsar,USC,30,23.3,2.8,6.4,0.438,0.1,0.2,0.5,1,2.3,0.443,1.2,2.9,1.7,3,4.7,0.9,1,0.9,6.7,0
Anfernee McLemore,AU,40,19.1,2.5,5.6,0.453,0.9,2.8,0.33,0.7,1.2,0.617,0.8,3,1,3,4,0.2,0.7,1.1,6.7,0
Marlon Taylor,LSU,35,23.4,2.3,5,0.463,0.4,1.7,0.254,1.6,2.4,0.675,1.1,1.9,1.3,2.3,3.6,0.6,0.7,0.2,6.7,0
Malik Dunbar,AU,39,17.9,2.4,5.4,0.434,1.1,3.2,0.339,0.8,1.4,0.611,0.9,1.8,0.7,2.5,3.2,0.6,0.8,0.4,6.6,0
Xavier Pinson,MU,31,18.4,2,4.9,0.412,0.8,2.1,0.4,1.7,2.2,0.779,2.3,2,0.7,1.9,2.6,2.3,0.6,0,6.6,0
Teshaun Hightower,UGA,29,17.4,2.2,5.4,0.404,0.8,2.8,0.287,1.4,2,0.712,1.8,1,0.3,1.6,1.9,1.5,0.5,0,6.6,0
Herb Jones,UA,34,21.1,2.3,5.5,0.422,0.2,0.6,0.286,1.5,3.1,0.495,2,2.8,1.1,2.4,3.5,2,0.9,0.6,6.4,0
Felipe Haase,USC,32,23.5,1.9,4.8,0.405,1,2.5,0.412,1.4,1.8,0.821,1.5,2.5,1.4,2.4,3.8,1.1,0.5,0.3,6.3,0
Riley Norris,UA,26,20,2,5,0.397,1.1,3.2,0.345,1.2,1.6,0.756,0.5,1.8,1.2,2.5,3.8,0.7,0.6,0.2,6.3,0
Alex Reese,UA,28,13.3,2,4.9,0.406,1,2.6,0.375,1.3,1.8,0.755,0.9,1.1,0.9,1.6,2.5,0.5,0.4,0.4,6.3,0
T.J. Moss,USC,7,20.6,2.3,5.9,0.39,1.1,3.4,0.333,0.6,0.9,0.667,2,1.1,0,1.9,1.9,1.9,0.6,0,6.3,0
Keith Stone,UF,17,19.2,2,5.1,0.391,0.9,2.2,0.405,1.2,1.9,0.606,1.4,2,1.2,2.7,3.9,0.6,0.8,0.5,6.1,0
K.J. Buffen,UM,33,20.9,2.1,4.4,0.472,0.1,0.5,0.25,1.8,2.5,0.69,1.7,2.5,1.5,2.8,4.4,1.2,0.8,0.5,6,0
Yanni Wetzell,VU,32,18.5,2.1,4.3,0.496,0.3,1.1,0.265,1.4,1.8,0.763,1.5,2.4,1.2,2.6,3.8,0.3,0.7,0.6,5.9,0
Brandon Mahan,TAMU,32,22.5,1.9,4.9,0.395,1.3,3.5,0.384,0.7,1.1,0.618,0.7,1.7,0.6,2.2,2.8,0.7,0.6,0.2,5.9,0
Will Jackson,UGA,32,23.8,1.8,5.2,0.341,1.2,3.8,0.314,0.8,1.1,0.794,1.3,1.7,0.5,1.3,1.8,2.1,0.6,0.2,5.6,0
Adrio Bailey,U of A,34,18.6,2.2,5,0.444,0.1,0.4,0.167,1.1,1.7,0.632,0.8,2.6,0.8,2.1,2.9,0.7,0.7,0.7,5.6,0
Robert Woodard II,MSU,34,17.5,2.1,4.6,0.468,0.4,1.3,0.273,0.9,1.5,0.58,0.6,1.1,1.4,2.7,4.1,0.7,0.5,0.5,5.5,0
Reggie Chaney,U of A,34,16.3,2.4,4.4,0.553,0,0,0,0.5,1,0.515,1.4,2.4,1.2,2.3,3.5,0.7,0.6,1.3,5.4,0
Dominik Olejniczak,UM,33,18.3,2.2,3.8,0.575,0,0,0,0.9,1.2,0.763,1,2.5,1.2,1.8,3,0.7,0.5,0.9,5.3,0
Desi Sills,U of A,34,16.9,1.6,3.7,0.44,0.9,1.9,0.46,1.2,1.7,0.702,1.6,2,0.4,0.9,1.3,1.7,0.6,0,5.3,0
Darius Days,LSU,35,14.6,1.9,3.9,0.485,0.7,1.9,0.382,0.7,1,0.743,0.5,2.7,1.7,2.3,4,0.4,0.7,0.3,5.3,0
Immanuel Quickley,UK,37,18.5,1.5,4,0.372,0.8,2.4,0.345,1.4,1.7,0.828,0.9,1.2,0.1,1.7,1.8,1.2,0.4,0,5.2,0
DeAundre Ballard,UF,28,12.2,1.8,4.3,0.413,0.7,2.3,0.312,0.4,0.6,0.75,0.8,1.1,0.6,1,1.7,0.2,0.5,0.2,4.7,0
Abdul Ado,MSU,31,24,1.6,2.7,0.614,0,0,0,1.4,2.2,0.623,1.1,2.8,1.7,2.8,4.5,0.4,0.6,1.8,4.7,0
Daryl Edwards,LSU,9,17.1,1.4,3.7,0.394,0.7,2.2,0.3,0.9,1.2,0.727,1.3,1.1,0.4,1.1,1.6,1.2,0.3,0.1,4.4,0
Horace Spencer,AU,40,15.6,1.6,3.6,0.458,0.1,0.5,0.158,0.8,1.5,0.567,0.9,2.7,2,2,4,0.4,0.9,0.8,4.2,0
J'Von Mccormick,AU,39,12.1,1.6,3.1,0.525,0.3,0.5,0.5,0.6,1,0.615,0.7,0.9,0.4,0.6,0.9,1.3,0.8,0.1,4.1,0
Keyshawn Embery-Simpson,U of A,33,14.6,1.4,4.1,0.346,0.7,2.6,0.271,0.5,0.8,0.692,0.7,1.3,0.3,0.9,1.2,0.6,0.7,0.1,4.1,0
Noah Thomas,LSU,1,19,2,2,1,0,0,0,0,0,0,1,0,1,3,4,0,0,0,4,0
Nick Richards,UK,37,12.1,1.3,2.2,0.598,0,0,0,1.3,1.9,0.69,0.7,2.1,1.5,1.8,3.3,0.2,0.1,1.3,4,0
Max Evans,VU,31,13.5,1.2,3.1,0.392,0.5,1.7,0.308,0.8,1.3,0.634,1,0.8,0.4,1,1.4,1.2,0.3,0.1,3.8,0
Galin Smith,UA,30,13,1.6,3.1,0.522,0,0,0,0.7,1.5,0.444,1.1,1.8,1,1.2,2.2,0.1,0.1,0.5,3.8,0
Isiah Jasey,TAMU,5,9,1.6,1.8,0.889,0,0,0,0.6,1.6,0.375,0.2,1.6,1.2,1.2,2.4,0.2,0.8,0.8,3.8,0
E.J. Montgomery,UK,37,15.1,1.6,3.4,0.48,0.1,0.3,0.2,0.5,0.8,0.567,0.8,2.1,1.7,2.4,4.1,0.4,0.4,1,3.8,0
Danjel Purifoy,AU,28,12.3,1.3,3.2,0.407,0.7,2,0.357,0.3,0.5,0.692,0.3,1.1,0.6,1.5,2.1,0.6,0.6,0,3.7,0
Matthew Moyer,VU,31,13.5,1.1,3.3,0.34,0.4,1.6,0.245,1,1.5,0.711,0.7,1.5,1.3,1.7,3,0.6,0.2,0.3,3.7,0
John Walker III,TAMU,29,13.5,1.1,2.4,0.457,0.2,0.8,0.304,0.9,1.4,0.619,1.1,1.2,0.9,1.6,2.4,0.6,0.5,0.2,3.3,0
Clevon Brown,VU,32,16.5,1.4,2.8,0.484,0.1,0.4,0.143,0.5,1.1,0.457,0.7,2.1,1.5,1.4,2.8,0.5,0.2,1.2,3.3,0
John Fulkerson,UT,36,12,1.2,2,0.583,0,0,0,0.8,1.2,0.644,0.6,1.9,1.1,1.6,2.6,0.7,0.5,0.7,3.1,0
E'Torrion Wilridge,UGA,29,18.7,0.9,2.4,0.38,0.1,0.7,0.15,1.2,1.7,0.694,1.1,1.2,0.8,1.4,2.2,1.3,0.5,0.4,3.1,0
Gabe Osabuohien,U of A,34,15.1,1.1,3.4,0.328,0.2,0.9,0.2,0.7,1.5,0.471,1.1,2.8,1.4,1.8,3.2,1.3,0.9,0.4,3.1,0
Reed Nikko,MU,32,11.2,1.3,2.2,0.606,0,0,0,0.3,0.6,0.579,0.8,1.8,0.9,1.2,2.1,0.2,0.2,0.4,3,0
Chase Johnson,UF,2,6,1.5,2,0.75,0,0,0,0,1.5,0,0,1,1,1,2,0,0,0.5,3,0
Dontay Bassett,UF,35,11.3,0.9,2,0.465,0.1,0.4,0.267,0.7,1.1,0.65,0.6,1.9,1.1,1.2,2.3,0.2,0.2,0.5,2.7,0
Alanzo Frink,USC,24,8.8,1.1,2.5,0.441,0.1,0.4,0.222,0.5,1,0.44,0.6,2.2,0.9,0.9,1.8,0.2,0.3,0.3,2.7,0
Isaiah Stokes,UF,26,7.1,1.1,2.3,0.459,0,0.2,0,0.5,0.8,0.667,0.8,1.5,0.3,0.6,1,0.4,0.2,0.1,2.7,0
Marshall Graves,LSU,11,7.8,0.8,2.4,0.346,0.7,2,0.364,0.2,0.2,1,0,0.4,0.2,0.5,0.6,0.2,0.2,0.1,2.5,0
Mitchell Smith,MU,31,11.7,0.9,1.9,0.45,0.3,0.8,0.417,0.5,0.7,0.667,0.7,1.3,0.7,1.7,2.5,0.5,0.3,0.2,2.5,0
Tye Fagan,UGA,31,11.5,1,2,0.508,0.1,0.4,0.333,0.3,0.3,1,0.9,0.5,0.5,1,1.5,0.7,0.2,0.2,2.5,0
"Jemarl Baker, Jr.",UK,28,9.1,0.7,2.2,0.328,0.5,1.5,0.31,0.4,0.5,0.733,0.4,0.8,0,0.5,0.5,0.4,0.1,0.1,2.3,0
Yves Pons,UT,35,11.7,0.9,1.8,0.516,0.2,0.7,0.28,0.2,0.4,0.4,0.6,1.2,0.5,1.3,1.8,0.5,0.3,0.4,2.2,0
D.C. Davis,UM,33,12.2,0.7,1.7,0.411,0.2,0.8,0.259,0.6,0.8,0.731,0.3,0.8,0.5,1,1.5,0.8,0.3,0,2.2,0
Amanze Ngumezi,UGA,31,6.5,0.7,2.1,0.344,0.2,0.7,0.273,0.5,0.9,0.536,0.4,1.1,0.4,0.5,0.9,0.2,0,0.1,2.1,0
Daniel Giddens,UA,14,8.2,0.7,2,0.357,0,0.1,0,0.5,1.3,0.389,0.9,1.6,0.9,0.9,1.9,0.4,0,0.5,1.9,0
"Avery Johnson, Jr.",UA,32,9.7,0.7,2.3,0.301,0.1,0.8,0.148,0.3,0.3,0.9,0.3,0.8,0.1,0.7,0.8,0.7,0.2,0,1.8,0
Ignas Sargiunas,UGA,20,5.8,0.6,1.5,0.4,0.2,0.8,0.294,0.3,0.3,0.857,0.5,0.4,0.1,0.3,0.5,0.5,0.1,0,1.8,0
Brian Halums,UM,12,3.5,0.5,1.8,0.273,0.1,0.5,0.167,0.7,1,0.667,0.1,0.5,0.3,0.1,0.4,0.2,0,0,1.8,0
Ronnie Suggs,MU,27,9,0.5,1.6,0.295,0.3,0.9,0.304,0.5,0.8,0.591,0.6,1,0.3,0.9,1.3,0.3,0.1,0,1.7,0
Brad Woodson,UT,5,2.4,0.4,0.8,0.5,0.4,0.6,0.667,0.4,0.4,1,0,0.2,0,0.2,0.2,0.4,0.2,0,1.6,0
Jalen Johnson,UT,26,5.8,0.5,1.1,0.483,0.3,0.8,0.45,0.1,0.1,0.667,0.2,0.7,0.3,0.5,0.7,0.3,0.1,0,1.5,0
Ty Stevens,U of A,2,1,0.5,0.5,1,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,1.5,0
Jordan Phillips,U of A,7,5.4,0.4,2.9,0.15,0,0.9,0,0.6,0.6,1,0.3,0.9,0.1,0.6,0.7,0,0.1,0,1.4,0
Mike Okauru,UF,35,6.6,0.5,1.3,0.378,0.2,0.7,0.25,0.3,0.4,0.692,0.3,0.9,0.1,0.5,0.6,0.3,0.2,0,1.4,0
JoJo Toppin,UGA,18,5.5,0.4,1.2,0.364,0.1,0.3,0.2,0.4,0.6,0.8,0.6,0.7,0.4,0.3,0.7,0.2,0.1,0.1,1.4,0
Evan Hinson,USC,15,9.5,0.5,2.2,0.212,0.1,1.3,0.1,0.3,0.3,0.8,0.5,0.7,0.4,0.7,1.1,0.2,0.2,0,1.3,0
Mac Hunt,VU,4,1.5,0.5,0.5,1,0.2,0.2,1,0,0,0,0,0,0,0,0,0.2,0,0,1.2,0
K.J. Santos,MU,20,12.3,0.6,1.8,0.314,0.1,0.5,0.222,0.1,0.3,0.143,0.8,1.4,0.4,1.4,1.9,0.3,0.1,0,1.2,0
Andrew Fava,UF,5,1.4,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.4,0.5,0.2,0.2,0,0.2,0.2,0,0,0,1.2,0
Jonathan Holmes,U of A,5,2.2,0.4,1.4,0.286,0.4,1,0.4,0,0,0,0.2,0.2,0,0,0,0,0,0,1.2,0
Luis Rodriguez,UM,25,6.1,0.4,0.9,0.455,0,0.1,0,0.3,0.3,0.875,0.3,0.6,0.4,0.7,1.1,0.6,0.2,0.3,1.1,0
Christian Harrison,UGA,23,7.1,0.4,0.6,0.692,0,0,0,0.3,0.5,0.545,0.4,1,0.4,0.9,1.3,0.5,0.4,0.1,1,0
T.J. Gray,MSU,5,2.4,0.4,1.2,0.333,0.2,0.6,0.333,0,0,0,0.6,0,0,0,0,0,0,0,1,0
Ethan Henderson,U of A,12,4.2,0.4,0.8,0.5,0,0,0,0.1,0.2,0.333,0.2,0.5,0.2,0.8,1,0.2,0.2,0.2,0.9,0
Mark French,TAMU,16,6,0.3,0.8,0.417,0.1,0.2,0.667,0.1,0.1,1,0.2,0.2,0,0.4,0.4,0.6,0.2,0,0.9,0
Myles Parker,AU,13,2.1,0.3,1.1,0.286,0.1,0.4,0.2,0.2,0.3,0.5,0.2,0.5,0,0.1,0.1,0,0.1,0,0.8,0
Derrick Walker,UT,30,5.3,0.3,0.6,0.526,0,0,0,0.2,0.6,0.263,0.2,0.9,0.3,0.8,1.1,0.2,0.2,0.1,0.8,0
Zach Naylor,UM,19,4.6,0.3,0.6,0.417,0.1,0.4,0.286,0.1,0.1,1,0.3,0.6,0.4,0.5,0.9,0.3,0.1,0.1,0.7,0
Lucas Campbell,UT,7,2,0.3,1.3,0.222,0.1,0.6,0.25,0,0,0,0.1,0.1,0,0.4,0.4,0.1,0.1,0,0.7,0
Chris Collins,TAMU,25,14.7,0.1,1.4,0.086,0.1,1.2,0.067,0.4,0.4,0.9,0.4,1.1,0.1,1.1,1.2,1.1,0.5,0,0.7,0
E.J. Datcher,MSU,6,2.8,0.2,0.5,0.333,0.2,0.3,0.5,0.2,0.3,0.5,0.2,1,0,1,1,0,0.2,0,0.7,0
Quad Borup,USC,3,1.3,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
Jacob Fleschman,UT,5,2.4,0.2,0.8,0.25,0.2,0.6,0.333,0,0,0,0.6,0.4,0,0.2,0.2,0.2,0,0,0.6,0
KeyShawn Feazell,MSU,22,4.6,0.2,0.5,0.5,0,0.1,0.5,0.1,0.1,1,0.5,1.2,0.3,0.7,1,0,0,0.1,0.6,0
Preston Cook,AU,8,1.2,0.2,0.6,0.4,0,0.1,0,0,0,0,0,0.1,0.4,0.1,0.5,0.1,0.1,0,0.5,0
Tate Clayton,MSU,4,2,0.2,0.2,1,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0.5,0
Devontae Williams,AU,6,1.7,0.2,0.3,0.5,0.2,0.3,0.5,0,0,0,0.2,0.2,0,0,0,0,0,0,0.5,0
Will Macoy,AU,11,2.1,0.1,0.5,0.2,0,0.3,0,0.3,0.5,0.6,0.1,0,0,0.1,0.1,0.1,0.2,0.2,0.5,0
Will Reese,LSU,9,2.8,0.2,0.7,0.333,0,0.2,0,0,0,0,0.1,0.1,0.2,0.2,0.4,0.3,0.1,0,0.4,0
Chase Maasdorp,AU,9,2,0.1,0.7,0.167,0.1,0.2,0.5,0.1,0.4,0.25,0.3,0.3,0.1,0,0.1,0,0.1,0,0.4,0
Cole Blackstock,AU,11,2,0,0.2,0,0,0,0,0.4,0.5,0.667,0,0.7,0.2,0.3,0.5,0.1,0,0.2,0.4,0
Antonio Morgano,UM,6,0.8,0.2,0.3,0.5,0,0.2,0,0,0,0,0,0.3,0.2,0,0.2,0,0,0,0.3,0
Mike Edwards,UGA,14,3.4,0.1,0.5,0.286,0,0.1,0,0,0.2,0,0.4,0.2,0.1,0.6,0.6,0.1,0.1,0,0.3,0
Mak Krause,UF,7,1.1,0.1,0.1,1,0,0,0,0,0,0,0.3,0.1,0,0.1,0.1,0,0,0,0.3,0
Connor O'Neill,UGA,9,1.8,0,0,0,0,0,0,0.1,0.2,0.5,0,0.2,0.2,0.2,0.4,0.1,0,0,0.1,0
Britton Johnson,UA,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0
Brock Jancek,UT,6,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0.2,0,0
Luke McGhee,TAMU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Ford,MU,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Nelson,USC,4,1.5,0,0.5,0,0,0.2,0,0,0,0,0,0.2,0,0.2,0.2,0,0.2,0,0,0
Jonny David,UK,10,1.4,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0,0,0
Tyler Barnes,UA,4,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
Adam Wolf,MU,4,1,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Rice,VU,4,1.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
Jason Cudd,USC,5,5.6,0,0.2,0,0,0,0,0,0,0,0.2,0.6,0,0.6,0.6,0,0,0,0,0
Evan Yerkes,MU,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Frank Byers,TAMU,3,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
Cameron Alo,TAMU,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
John Brown,TAMU,5,2.4,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0
Zach Walker,TAMU,4,3,0,0.5,0,0,0.2,0,0,0.5,0,0.2,0,0,0,0,0.2,0,0.2,0,0
Christian Guess,MU,1,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Thomas Collier,AU,8,1.4,0,0.2,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0,0,0
Mitch Storm,MSU,4,2.5,0,0.5,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
Lawson Schaffer,UA,9,1.7,0,0.7,0,0,0.4,0,0,0,0,0.1,0.2,0,0.1,0.1,0,0.1,0,0,0